Vendor Name	Thomas Munch
Start Date	03/29/2026
End Date	05/02/2026
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
04/14/2026	04/14/2026	6755629668	prosub	Pro Monthly		IAY	BE	1	1.40	1.40	EUR	1.990	EUR	S				
04/19/2026	04/20/2026	6755629668	prosub	Pro Monthly		IAY	BR	1	9.58	9.58	BRL	12.900	BRL	S				
03/23/2026	04/02/2026	6755629668	prosub	Pro Monthly		IAY	CA	1	2.54	2.54	CAD	2.990	CAD	S			ON	
04/19/2026	04/19/2026	6754659255	pro	Pro		IA1	DK	1	169.32	169.32	DKK	249.000	DKK	S				
04/06/2026	04/07/2026	6754659255	pro	Pro		IA1	DK	1	169.32	169.32	DKK	249.000	DKK	S				
04/06/2026	04/06/2026	6754659255	pro	Pro		IA1	DK	1	169.32	169.32	DKK	249.000	DKK	S				
04/11/2026	04/12/2026	6754659255	pro	Pro		IA1	DK	1	169.32	169.32	DKK	249.000	DKK	S				
05/01/2026	05/01/2026	6754659255	pro	Pro		IA1	DK	1	169.32	169.32	DKK	249.000	DKK	S				
04/30/2026	04/30/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/01/2026	04/01/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/27/2026	04/28/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/24/2026	04/25/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/19/2026	04/19/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/13/2026	04/14/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/04/2026	04/04/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/12/2026	04/13/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
03/30/2026	03/31/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/16/2026	04/16/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/18/2026	04/18/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
03/30/2026	03/30/2026	6755629668	prosub	Pro Monthly		IAY	DK	5	12.92	64.60	DKK	19.000	DKK	S				
04/13/2026	04/13/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/27/2026	04/27/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/09/2026	04/10/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/29/2026	04/30/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/23/2026	04/23/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/25/2026	04/26/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/05/2026	04/05/2026	6755629668	prosub	Pro Monthly		IAY	DK	4	12.92	51.68	DKK	19.000	DKK	S				
04/10/2026	04/10/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/15/2026	04/16/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/09/2026	04/09/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
